index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
3, 2023/10/17 23:41:35.595, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:41:45.598, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:41:45.600, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:41:45.601, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:41:45.603, 78.87 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:41:55.606, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:41:55.608, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:41:55.610, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:41:55.611, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:42:05.614, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
