index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
1, 2023/10/17 23:32:25.166, 41.95 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:32:25.168, 42.81 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:32:25.169, 249.59 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:32:35.172, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:32:35.174, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:32:35.176, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:32:35.178, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:32:45.180, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:32:45.182, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:32:45.184, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:32:45.186, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:32:55.188, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:32:55.190, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:32:55.192, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:32:55.193, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:33:05.196, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:33:05.198, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:33:05.200, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:33:05.202, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:33:15.205, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:33:15.206, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:33:15.210, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:33:15.211, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:33:25.214, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:33:25.216, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:33:25.217, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:33:25.219, 71.62 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:33:35.222, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:33:35.224, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:33:35.226, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:33:35.227, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:33:45.229, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:33:45.232, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:33:45.234, 42.95 W, 135 MHz, 877 MHz, 135 MHz
