index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/10/17 16:57:38.419, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:57:38.421, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:57:38.423, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:57:38.424, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:57:48.427, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:57:48.429, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:57:48.431, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:57:48.432, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:57:58.435, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:57:58.437, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:57:58.438, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:57:58.441, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:58:08.444, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:58:08.446, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:58:08.448, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:58:08.449, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:58:18.452, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:58:18.454, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:58:18.456, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:58:18.458, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:58:28.460, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:58:28.462, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:58:28.464, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:58:28.465, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:58:38.468, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:58:38.470, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:58:38.471, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:58:38.473, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:58:48.476, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:58:48.478, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:58:48.479, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:58:48.482, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:58:58.484, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:58:58.486, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:58:58.488, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:58:58.489, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:59:08.491, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:59:08.493, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:59:08.495, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:59:08.497, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:59:18.503, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:59:18.505, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:59:18.507, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:59:18.508, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:59:28.510, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:59:28.512, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:59:28.514, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:59:28.516, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:59:38.519, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:59:38.520, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:59:38.522, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:59:38.524, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:59:48.526, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:59:48.528, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:59:48.530, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:59:48.532, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 16:59:58.534, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 16:59:58.536, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 16:59:58.538, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 16:59:58.540, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:00:08.542, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:00:08.544, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:00:08.546, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:00:08.548, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:00:18.551, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:00:18.553, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:00:18.556, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:00:18.557, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:00:28.560, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:00:28.562, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:00:28.564, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:00:28.565, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:00:38.568, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:00:38.570, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:00:38.572, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:00:38.574, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:00:48.576, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:00:48.578, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:00:48.580, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:00:48.582, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:00:58.585, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:00:58.587, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:00:58.588, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:00:58.590, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:01:08.593, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:01:08.594, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:01:08.596, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:01:08.598, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:01:18.600, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:01:18.602, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:01:18.604, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:01:18.606, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:01:28.608, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:01:28.610, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:01:28.612, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:01:28.613, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:01:38.616, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:01:38.618, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:01:38.620, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:01:38.621, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:01:48.623, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:01:48.625, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:01:48.627, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:01:48.629, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:01:58.632, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:01:58.634, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:01:58.635, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:01:58.637, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:02:08.639, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:02:08.641, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:02:08.643, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:02:08.645, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:02:18.647, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:02:18.649, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:02:18.650, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:02:18.652, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:02:28.655, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:02:28.656, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:02:28.658, 42.98 W, 135 MHz, 877 MHz, 135 MHz
