index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
3, 2023/10/17 17:06:58.882, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:07:08.884, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:07:08.886, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:07:08.888, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:07:08.890, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:07:18.892, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:07:18.894, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:07:18.895, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:07:18.897, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:07:28.900, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:07:28.901, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:07:28.903, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:07:28.905, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:07:38.908, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:07:38.910, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:07:38.912, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 17:07:38.914, 57.56 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 17:07:48.916, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 17:07:48.918, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 17:07:48.920, 42.98 W, 135 MHz, 877 MHz, 135 MHz
